seat_number,status,member_name
1,Occupied,Rahul Sharma
2,Occupied,Paramjeet Sangwan
3,Occupied,Amit Kumar
4,Occupied,Priya Sharma
5,Occupied,Rohit Singh
6,Occupied,Neha Gupta
7,Occupied,Vikash Yadav
8,Occupied,Pooja Verma
9,Occupied,Rahul Mishra
10,Occupied,Anjali Joshi
11,Occupied,Deepak Tiwari
12,Occupied,Sunita Patel
13,Occupied,Manish Dubey
14,Occupied,Kavita Singh
15,Occupied,Rajesh Pandey
16,Occupied,Suman Rai
17,Occupied,Arun Saxena
18,Occupied,Meena Chauhan
19,Occupied,Suresh Lodhi
20,Occupied,Rekha Bhatt
21,Occupied,Vinod Jain
22,Occupied,Seema Tomar
23,Occupied,Naveen Garg
24,Occupied,Geeta Chaudhary
25,Occupied,Pankaj Arora
26,Occupied,Ritu Bajaj
27,Occupied,Ashok Kapoor
28,Occupied,Amit Kumar
29,Occupied,Priya Sharma
30,Occupied,Rohit Singh
31,Occupied,Neha Gupta
32,Occupied,Vikash Yadav
33,Occupied,Pooja Verma
34,Occupied,Rahul Mishra
35,Occupied,Anjali Joshi
36,Occupied,Deepak Tiwari
37,Occupied,Sunita Patel
38,Occupied,Manish Dubey
39,Occupied,Kavita Singh
40,Occupied,Rajesh Pandey
41,Occupied,Suman Rai
42,Occupied,Arun Saxena
43,Occupied,Meena Chauhan
44,Occupied,Suresh Lodhi
45,Occupied,Rekha Bhatt
46,Occupied,Vinod Jain
47,Occupied,Seema Tomar
48,Occupied,Naveen Garg
49,Occupied,Geeta Chaudhary
50,Occupied,Pankaj Arora
51,Occupied,Ritu Bajaj
52,Occupied,Ashok Kapoor
53,Vacant,
54,Vacant,
55,Vacant,
56,Vacant,
57,Vacant,
58,Vacant,
59,Vacant,
60,Vacant,
61,Vacant,
62,Vacant,
63,Vacant,
64,Vacant,
65,Vacant,
66,Vacant,
67,Vacant,
68,Vacant,
69,Vacant,
70,Vacant,
71,Vacant,
72,Vacant,
73,Vacant,
74,Vacant,
75,Vacant,
76,Vacant,
77,Vacant,
78,Vacant,
79,Vacant,
80,Vacant,
81,Vacant,
82,Vacant,
83,Vacant,
84,Vacant,
85,Vacant,
86,Vacant,
87,Vacant,
88,Vacant,
89,Vacant,
